[2026-02-13T07:55:41.359572+00:00] DTA START (logs JSONL -> PostgreSQL -> UI decisions + Wazuh alerts + DB policy)
[2026-02-13T07:55:46.520261+00:00] initial refs failed: ConnectionTimeout('connection timeout expired')
[2026-02-13T07:55:46.549734+00:00] watch chat logs: C:\Users\Amadou\OneDrive\Bureau\ollama-chat-logger\backend\logs\chat_input.jsonl
[2026-02-13T07:55:46.549734+00:00] watch media logs: C:\Users\Amadou\OneDrive\Bureau\ollama-chat-logger\backend\logs\media_uploads.jsonl
[2026-02-13T07:55:51.545808+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T07:56:56.593133+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T07:58:01.769910+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T07:59:06.824099+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T08:01:31.568274+00:00] refresh error: OperationalError('connection failed: connection to server at "192.168.1.50", port 5432 failed: Network is unreachable (0x00002743/10051)\n\tIs the server running on that host and accepting TCP/IP connections?')
[2026-02-13T18:40:37.507786+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T18:41:42.640594+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T18:42:47.710713+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T18:43:52.876215+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T18:44:57.987780+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T18:45:01.059632+00:00] DTA STOP requested
[2026-02-13T19:14:24.541325+00:00] DTA START (logs JSONL -> PostgreSQL -> UI decisions + Wazuh alerts + DB policy)
[2026-02-13T19:14:29.563382+00:00] initial refs failed: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:14:29.579067+00:00] watch chat logs: C:\Users\Amadou\OneDrive\Bureau\ollama-chat-logger\backend\logs\chat_input.jsonl
[2026-02-13T19:14:29.579067+00:00] watch media logs: C:\Users\Amadou\OneDrive\Bureau\ollama-chat-logger\backend\logs\media_uploads.jsonl
[2026-02-13T19:14:34.570161+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:15:39.603524+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:16:44.747859+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:17:49.907413+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:18:54.937554+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:19:59.955961+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:21:05.090700+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:22:10.237778+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:23:15.318643+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:24:20.508926+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:25:25.583346+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:26:30.735612+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:27:35.872007+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:28:40.907176+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:29:45.935421+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:30:51.076883+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:31:56.221889+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:33:01.259872+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:34:06.261902+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:35:11.378940+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:36:16.419103+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:37:21.530489+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:38:26.701206+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:39:31.809350+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:40:36.951277+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:41:42.006759+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:42:47.169567+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:43:52.317650+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:44:57.396882+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:46:02.547974+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:47:07.652412+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:48:12.778256+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:49:17.866848+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:50:22.999099+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:51:28.131346+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:52:33.281140+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:53:38.437105+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:54:43.480340+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:55:48.628481+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:56:53.761002+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:57:58.899883+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T19:59:03.952007+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:00:08.996451+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:01:14.141051+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:02:19.292622+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:03:24.336822+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:04:29.484618+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:05:34.642012+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:06:39.687538+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:07:44.731523+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:08:49.873893+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:09:55.023706+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:11:00.058037+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:12:05.101580+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:13:10.241988+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:14:15.393348+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:15:20.432426+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:16:25.580150+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:17:30.725156+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:18:35.862327+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:19:41.009280+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:20:46.057887+00:00] refresh error: ConnectionTimeout('connection timeout expired')
[2026-02-13T20:21:51.207040+00:00] refresh error: ConnectionTimeout('connection timeout expired')
